"Subject","Date","Time","Duration (min)","Recipients","Send Rate (/min)","Unique Opened","Total Opened","% Opened","Recipients who Clicked Links","% Recipients who Clicked","Total Links Clicked","Hard Bounced","Soft Bounced","Total Bounced","% Bounced","Unsubscribed","% Unsubscribed","Forwarded","Recipients who Forwarded","% Recipients who Forwarded"
"Doucment Management & File Sharing!","18/01/13","01:59","5372.75","91974","17.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Document Management|Anywhere Access","18/01/13","02:36","5336.5","64285","12.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Online Backup","21/01/13","01:25","1087.17","155567","143.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Online Backup","21/01/13","06:36","775.83","155567","200.52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Online Backup","21/01/13","18:03","89.25","257977","2890.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Online Backup","21/01/13","18:56","35.88","257977","7189.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Online Backup","21/01/13","19:06","25.62","257977","10070.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Online Backup","21/01/13","19:07","24.08","257977","10711.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Document & Project Management Made Simple","07/01/13","08:45","0.35","3","8.57","1","1","33.33","0","0","0","0","0","0","0","0","0","0","0","0"
"Online Backup","21/01/13","22:45","-22646565.33","155567","-0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
